Bike_ID,Maintenance_Date,Issue_Reported,Downtime_Hours
22,2022-07-31,Chain Issue,42
108,2022-07-26,Flat Tire,27
604,2022-01-02,Brake Issue,40
733,2022-12-03,Flat Tire,40
720,2022-12-17,Battery Issue,44
988,2022-12-04,Flat Tire,18
551,2022-06-21,Battery Issue,12
156,2022-01-17,Flat Tire,34
580,2022-04-05,Chain Issue,2
329,2022-12-29,Flat Tire,41
839,2022-09-06,Brake Issue,23
521,2022-03-02,Battery Issue,8
394,2022-03-22,Brake Issue,22
242,2022-03-14,Flat Tire,34
234,2022-07-24,Chain Issue,27
390,2022-09-03,Brake Issue,1
610,2022-11-19,Flat Tire,41
332,2022-08-06,Brake Issue,19
806,2022-08-01,Chain Issue,29
235,2022-09-06,Flat Tire,41
395,2022-04-13,Flat Tire,24
862,2022-04-03,Flat Tire,43
2,2022-05-18,Flat Tire,13
647,2022-02-15,Brake Issue,34
288,2022-08-25,Chain Issue,23
509,2022-11-13,Chain Issue,47
345,2022-02-22,Chain Issue,29
701,2022-09-12,Battery Issue,2
839,2022-05-04,Battery Issue,15
63,2022-10-05,Brake Issue,1
227,2022-09-15,Chain Issue,33
566,2022-09-23,Battery Issue,36
165,2022-12-29,Battery Issue,26
344,2022-11-07,Brake Issue,25
926,2022-09-22,Chain Issue,44
392,2022-05-25,Brake Issue,31
17,2022-12-02,Battery Issue,24
718,2022-03-14,Chain Issue,42
262,2022-08-20,Flat Tire,28
756,2022-11-13,Flat Tire,35
14,2022-04-19,Flat Tire,9
946,2022-04-17,Chain Issue,30
538,2022-11-27,Battery Issue,45
347,2022-04-21,Brake Issue,24
727,2022-08-01,Battery Issue,5
937,2022-06-11,Flat Tire,5
779,2022-10-22,Chain Issue,35
490,2022-11-07,Chain Issue,17
142,2022-11-28,Flat Tire,26
954,2022-02-24,Chain Issue,37
579,2022-08-22,Brake Issue,44
965,2022-02-09,Chain Issue,24
661,2022-08-28,Chain Issue,17
227,2022-12-20,Brake Issue,2
617,2022-12-14,Brake Issue,29
633,2022-07-20,Flat Tire,40
975,2022-04-05,Chain Issue,41
328,2022-07-06,Flat Tire,33
610,2022-08-23,Brake Issue,13
813,2022-11-08,Battery Issue,32
960,2022-04-05,Brake Issue,4
428,2022-12-11,Flat Tire,40
81,2022-08-07,Brake Issue,33
65,2022-06-12,Brake Issue,17
41,2022-12-04,Chain Issue,20
159,2022-05-09,Battery Issue,15
858,2022-10-02,Battery Issue,33
911,2022-09-06,Chain Issue,23
779,2022-04-14,Flat Tire,34
252,2022-10-04,Battery Issue,18
677,2022-12-06,Flat Tire,14
227,2022-09-09,Flat Tire,47
787,2022-07-07,Brake Issue,30
16,2022-05-08,Flat Tire,1
144,2022-09-07,Battery Issue,12
915,2022-01-25,Flat Tire,18
347,2022-12-01,Flat Tire,17
929,2022-07-06,Flat Tire,28
806,2022-02-26,Battery Issue,44
520,2022-12-01,Chain Issue,25
524,2022-07-04,Battery Issue,41
416,2022-02-03,Chain Issue,32
456,2022-02-12,Chain Issue,2
936,2022-11-09,Battery Issue,9
479,2022-12-22,Battery Issue,33
454,2022-09-01,Brake Issue,6
456,2022-02-08,Flat Tire,46
658,2022-11-19,Chain Issue,44
260,2022-05-15,Flat Tire,2
466,2022-07-25,Flat Tire,15
611,2022-05-15,Flat Tire,2
960,2022-04-27,Battery Issue,12
560,2022-05-21,Battery Issue,38
177,2022-07-16,Brake Issue,22
240,2022-08-02,Chain Issue,20
657,2022-10-01,Brake Issue,44
927,2022-02-17,Chain Issue,22
285,2022-03-13,Battery Issue,40
135,2022-04-12,Chain Issue,27
849,2022-05-03,Chain Issue,9
617,2022-01-18,Chain Issue,40
984,2022-03-22,Chain Issue,4
941,2022-12-01,Chain Issue,1
322,2022-10-16,Flat Tire,15
525,2022-09-29,Battery Issue,1
684,2022-01-21,Chain Issue,28
778,2022-10-06,Flat Tire,26
389,2022-10-14,Flat Tire,37
770,2022-02-19,Flat Tire,24
104,2022-12-23,Flat Tire,46
592,2022-04-29,Chain Issue,43
874,2022-04-06,Chain Issue,44
954,2022-02-12,Flat Tire,41
188,2022-11-23,Chain Issue,39
43,2022-07-17,Chain Issue,16
179,2022-02-26,Battery Issue,9
669,2022-03-11,Chain Issue,31
734,2022-08-28,Battery Issue,24
713,2022-03-01,Brake Issue,41
191,2022-04-04,Brake Issue,11
303,2022-07-01,Chain Issue,2
994,2022-01-23,Brake Issue,9
686,2022-06-21,Brake Issue,19
531,2022-09-21,Brake Issue,40
255,2022-01-16,Chain Issue,10
803,2022-12-18,Brake Issue,22
747,2022-07-29,Chain Issue,38
482,2022-04-29,Flat Tire,20
461,2022-01-02,Battery Issue,36
343,2022-10-30,Flat Tire,39
442,2022-07-04,Flat Tire,1
938,2022-10-06,Battery Issue,9
506,2022-12-02,Brake Issue,45
675,2022-06-21,Battery Issue,31
305,2022-02-25,Battery Issue,24
384,2022-10-11,Battery Issue,2
363,2022-06-14,Battery Issue,2
819,2022-02-10,Brake Issue,19
542,2022-02-26,Brake Issue,29
621,2022-04-02,Battery Issue,47
601,2022-05-31,Chain Issue,31
31,2022-08-09,Brake Issue,13
823,2022-04-14,Battery Issue,21
688,2022-09-04,Battery Issue,36
726,2022-12-09,Battery Issue,11
543,2022-05-18,Flat Tire,18
659,2022-04-15,Flat Tire,33
484,2022-10-22,Brake Issue,32
227,2022-03-20,Flat Tire,17
491,2022-09-22,Battery Issue,9
761,2022-03-23,Battery Issue,38
922,2022-09-30,Battery Issue,22
772,2022-01-11,Chain Issue,43
302,2022-02-13,Battery Issue,9
527,2022-03-04,Battery Issue,9
566,2022-02-28,Chain Issue,36
360,2022-02-22,Battery Issue,28
799,2022-08-10,Brake Issue,31
801,2022-05-15,Flat Tire,6
583,2022-11-15,Brake Issue,44
334,2022-08-16,Battery Issue,30
