User_ID,Age,Gender,Subscription_Type,Signup_Date,City
1,56,Male,Casual,2020-07-14,Boston
2,46,Male,Monthly,2021-01-22,New York
3,32,Male,Casual,2021-03-30,San Francisco
4,60,Other,Casual,2021-12-13,Seattle
5,25,Other,Casual,2021-12-05,San Francisco
6,38,Other,Monthly,2021-10-19,San Francisco
7,56,Female,Yearly,2020-11-05,Seattle
8,36,Female,Monthly,2020-05-06,Chicago
9,40,Male,Yearly,2020-06-23,Chicago
10,28,Other,Casual,2020-05-13,Chicago
11,28,Male,Casual,2020-03-06,New York
12,41,Other,Casual,2021-01-27,San Francisco
13,53,Other,Casual,2020-12-30,Seattle
14,57,Other,Casual,2020-10-05,New York
15,41,Female,Monthly,2020-12-28,Seattle
16,20,Female,Yearly,2020-06-19,New York
17,39,Other,Yearly,2020-02-20,New York
18,19,Male,Casual,2020-11-23,New York
19,41,Other,Yearly,2021-10-26,Seattle
20,61,Other,Casual,2021-08-14,Boston
21,47,Male,Casual,2020-05-24,New York
22,55,Other,Yearly,2020-09-30,Chicago
23,19,Male,Monthly,2020-06-03,San Francisco
24,38,Female,Casual,2021-05-22,Boston
25,50,Female,Monthly,2020-12-28,Boston
26,29,Male,Casual,2020-11-20,Seattle
27,39,Female,Monthly,2021-10-16,Boston
28,61,Female,Monthly,2020-10-24,Seattle
29,42,Male,Yearly,2021-05-08,Seattle
30,44,Female,Casual,2021-06-29,Chicago
31,59,Other,Casual,2020-10-30,New York
32,45,Other,Monthly,2021-04-11,Boston
33,33,Male,Monthly,2020-08-26,New York
34,32,Female,Casual,2021-10-11,New York
35,64,Other,Monthly,2021-05-31,New York
36,61,Other,Yearly,2020-06-24,Seattle
37,20,Female,Yearly,2021-02-13,New York
38,54,Female,Yearly,2021-12-26,Boston
39,24,Other,Yearly,2020-12-29,Seattle
40,38,Other,Monthly,2020-01-23,Boston
41,26,Male,Yearly,2020-11-13,Seattle
42,56,Male,Casual,2021-06-08,San Francisco
43,35,Other,Casual,2020-10-02,San Francisco
44,21,Male,Casual,2021-08-26,San Francisco
45,42,Other,Monthly,2021-09-11,San Francisco
46,31,Other,Casual,2020-08-16,Seattle
47,26,Male,Yearly,2021-10-25,New York
48,43,Male,Casual,2020-04-17,Chicago
49,19,Female,Casual,2020-06-24,Chicago
50,37,Female,Monthly,2020-11-15,San Francisco
51,45,Female,Casual,2020-10-12,New York
52,64,Other,Casual,2020-11-24,Boston
53,24,Male,Casual,2021-10-18,New York
54,61,Other,Monthly,2020-12-21,Boston
55,25,Male,Monthly,2020-01-14,Chicago
56,64,Other,Monthly,2020-10-01,New York
57,52,Female,Monthly,2020-03-11,New York
58,31,Female,Monthly,2020-07-13,Chicago
59,34,Female,Casual,2021-06-06,New York
60,53,Other,Casual,2020-04-15,Boston
61,57,Male,Monthly,2020-07-14,New York
62,21,Male,Casual,2020-05-24,Boston
63,19,Female,Casual,2020-12-15,San Francisco
64,23,Female,Monthly,2021-02-27,New York
65,59,Female,Monthly,2021-04-15,Boston
66,21,Female,Casual,2021-11-16,Chicago
67,46,Male,Casual,2020-08-03,San Francisco
68,35,Other,Yearly,2020-04-02,New York
69,43,Other,Yearly,2020-09-16,Boston
70,61,Other,Monthly,2021-07-28,New York
71,51,Other,Monthly,2021-06-24,Boston
72,27,Female,Monthly,2020-10-11,New York
73,53,Female,Yearly,2021-04-28,San Francisco
74,31,Female,Yearly,2021-01-06,San Francisco
75,48,Other,Casual,2020-03-10,New York
76,32,Female,Yearly,2021-01-13,New York
77,25,Female,Casual,2020-10-05,Seattle
78,31,Male,Casual,2020-10-28,New York
79,40,Male,Monthly,2020-09-11,New York
80,57,Female,Monthly,2021-11-14,San Francisco
81,38,Male,Yearly,2021-11-22,New York
82,33,Male,Casual,2020-09-20,Chicago
83,62,Female,Monthly,2021-11-25,New York
84,35,Female,Yearly,2021-12-17,Seattle
85,64,Female,Yearly,2021-02-27,Boston
86,41,Female,Casual,2020-07-31,San Francisco
87,43,Other,Casual,2021-11-01,Chicago
88,42,Other,Monthly,2020-04-09,Boston
89,62,Female,Casual,2020-04-21,Chicago
90,58,Male,Yearly,2020-11-03,San Francisco
91,46,Female,Yearly,2021-11-08,Seattle
92,32,Female,Casual,2021-04-19,San Francisco
93,62,Male,Casual,2021-07-01,Chicago
94,18,Other,Casual,2020-04-21,Chicago
95,42,Female,Yearly,2020-03-27,San Francisco
96,24,Female,Casual,2020-07-01,New York
97,26,Other,Monthly,2021-08-19,San Francisco
98,41,Other,Monthly,2020-06-13,Seattle
99,18,Male,Monthly,2020-03-30,San Francisco
100,61,Other,Casual,2021-03-30,Boston
101,25,Other,Casual,2020-08-25,New York
102,41,Other,Yearly,2021-06-17,Boston
103,28,Male,Yearly,2021-11-09,San Francisco
104,34,Other,Monthly,2021-12-27,New York
105,25,Other,Casual,2020-02-27,Boston
106,52,Male,Casual,2021-06-25,Boston
107,52,Other,Monthly,2021-09-09,New York
108,50,Other,Casual,2021-02-05,New York
109,22,Male,Yearly,2021-11-09,Chicago
110,59,Female,Monthly,2021-10-27,New York
111,56,Male,Casual,2021-06-02,San Francisco
112,58,Other,Yearly,2020-07-15,Seattle
113,45,Other,Yearly,2020-02-15,Chicago
114,24,Other,Casual,2021-06-13,New York
115,26,Male,Monthly,2021-01-31,Seattle
116,25,Other,Casual,2021-10-26,Chicago
117,29,Other,Casual,2020-03-14,San Francisco
118,51,Male,Casual,2021-02-19,Seattle
119,50,Female,Monthly,2021-10-18,New York
120,40,Female,Yearly,2021-09-05,New York
121,41,Other,Monthly,2020-11-30,San Francisco
122,54,Male,Casual,2021-09-24,Chicago
123,52,Other,Monthly,2021-11-18,Seattle
124,61,Male,Casual,2021-07-28,San Francisco
125,57,Male,Yearly,2020-10-22,Chicago
126,39,Female,Monthly,2020-03-24,Boston
127,44,Female,Casual,2020-01-15,Boston
128,52,Male,Casual,2020-05-13,Chicago
129,18,Other,Monthly,2021-04-22,New York
130,52,Female,Casual,2021-09-24,New York
131,54,Other,Monthly,2020-11-14,Boston
132,64,Female,Casual,2021-01-26,New York
133,31,Female,Casual,2021-04-23,New York
134,20,Other,Monthly,2021-10-01,Chicago
135,18,Female,Yearly,2021-01-02,Chicago
136,22,Female,Yearly,2021-01-01,New York
137,43,Other,Casual,2020-10-14,Chicago
138,31,Female,Casual,2021-01-12,Seattle
139,56,Female,Casual,2021-11-22,Boston
140,44,Female,Monthly,2021-04-07,Seattle
141,26,Other,Monthly,2021-08-16,Seattle
142,32,Male,Yearly,2020-01-13,New York
143,32,Other,Yearly,2021-06-19,New York
144,43,Male,Casual,2020-06-16,Seattle
145,59,Female,Monthly,2020-09-26,Seattle
146,30,Male,Yearly,2020-03-10,San Francisco
147,49,Other,Yearly,2020-11-13,San Francisco
148,56,Other,Casual,2021-01-10,Boston
149,49,Female,Casual,2020-03-29,Seattle
150,21,Male,Monthly,2021-12-01,Chicago
151,47,Female,Casual,2020-09-13,San Francisco
152,54,Female,Casual,2020-08-04,New York
153,40,Other,Casual,2021-03-25,Seattle
154,56,Male,Monthly,2021-06-27,Chicago
155,62,Male,Casual,2020-05-20,Chicago
156,32,Male,Casual,2020-06-09,Chicago
157,60,Male,Casual,2020-02-01,New York
